id;comment;comp_id;start_year;end_year;source;license;store_type;is_H_gas;is_onShore;operator_name;Compressor;num_storage_wells;structure_depth_m;max_workingGas_M_m3;max_workingGas_TWh;max_workingGas_kWh;max_cap_store2pipe_M_m3_per_d;max_cap_store2pipe_GWh_per_d;max_cap_store2pipe_GWh_per_d;max_cap_pipe2store_m3_per_d;max_cap_pipe2store_GWh_per_d;max_cap_pipe2store_kWh_per_h;access_regime
TEXT;TEXT;TEXT;INT;INT;TEXT;TEXT;TEXT;INT;INT;TEXT;REAL;REAL;REAL;REAL;REAL;REAL;REAL;REAL;REAL;REAL;REAL;REAL;TEXT
[];[];[];[yyyy];[yyyy];[];[];[];[];[];[];[MW];[];[m];[M Nm^3];[TWh];[kWh];[M m^3/d];[GWh/d];[kWh/h];[M^3/d];[GWh/d];[kWh/h];[]
Galata_1;Galata;Galata;2999;;http://www.petroceltic.com/operations/bulgaria.aspx;;Leeres Gas Feld;;;;;;;;;;;;;;;;
Galata_2;Galata;Galata;2999;;http://www.petroceltic.com/operations/bulgaria.aspx;;Leeres Gas Feld;;;;;;;;;;;;;;;;
Gatchinskoye;Gatchinskoye;Gatchinskoye;1963;;http://www.gazprom.com/about/production/underground-storage/;;Aquifer;;;;;;;;;;;;;;;;
Gateway;Gateway;Gateway;2999;;http://www.gatewaystorage.co.uk/;;Salz Kaverne;;;;;;;;;;;;;;;;
Gaviota_1;Gaviota;Gaviota;1993;;http://www.enagas.es/enagas/en/Transporte_de_gas/Almacenamientos_Subterraneos;;Leeres Feld;;;;;;;;;;;;;;;;
Gaviota_2;Gaviota;Gaviota;2999;;http://www.enagas.es/enagas/en/Transporte_de_gas/Almacenamientos_Subterraneos;;Leeres Feld;;;;;;;;;;;;;;;;
GermignySousCoulombs;GermignySousCoulombs;GermignySousCoulombs;1982;;http://www.storengy.com/countries/france/en/;;Aquifer;1;;;;22;848;2800;;;;;;;;;
Ghercesti;Ghercesti;Ghercesti;2004;;http://www.romgaz.ro/en/inmagazinare;;Leeres Gas Feld;;;;;;;;;;;;;;;;
GournaySurAronde;GournaySurAronde;GournaySurAronde;1976;;http://www.storengy.com/countries/france/en/;;Aquifer;0;;;;8;717;3130;;;;;;;;;
Grijpskerk;"Grijpskerk, Grijpskerk, Norg (NAM) and Alkmaar (TAQA) = Groningen System; No longer offering capacity, to be considered as a production facility.";Grijpskerk;1997;;http://www.nam.nl/en/about-nam/facts-and-figures.html;;Leeres Gas Feld;;;;;;;;;;;;;;;;
GrubisnoPolje;Grubisno Polje;GrubisnoPolje;2020;;http://www.psp.hr/home;;Leeres Gas Feld;;;;;;;;;;;;;;;;
GSDVirtualGasStorageDK;GSD virtual gas storage;GSDVirtualGasStorageDK;;;http://gaslager.energinet.dk/EN/Pages/default.aspx;;Aquifer;;;;;;;;;;;;;;;;
Haehnlein;Haehnlein;Haehnlein;1960;;http://mndgsgermany.com/;;Aquifer;;;;;;;;;;;;;;;;
HaidachStorage_5;Haidach 5;HaidachStorage_RAG;2006;;http://www.rag-energy-storage.at/en.html;;Leeres Gas Feld;;;;;;;;0.181;;;;226000;;;181000;
HaidachStorage_2;Haidach, Storage Capacity solely connected to Germany;HaidachStorage_Astora;2007;;https://www.astora.de/storage-locations/haidach-storage-facility.html?L=1;;Leeres Gas Feld;;;;;;;;;;;;;;;;
HaidachStorage_3;Haidach,Storage Capacity solely connected to Germany;HaidachStorage_GSA;2007;;http://www.gsa-services.ru/;;Leeres Gas Feld;;;;;;;;;;;;;;;;
Hajduszoboszlo;Hajduszoboszlo;Hajduszoboszlo;1981;;http://www.magyarfoldgaztarolo.hu/en/Lapok/default.aspx;;Leeres Feld;;;;;;;;;;;;;;;;
Harsefeld;Harsefeld;Harsefeld;1992;;http://www.storengy.com/countries/deutschland/en/products-services.html;;Salt cavern;;;;;;;;;1450728000;;;3405000;;;1027778;
HatfieldMoor;HatfieldMoor;HatfieldMoor;2000;;http://www.scottishpower.com/pages/hatfield_moor_gas_storage_facility.asp;;Leeres Gas Feld;;;;;;;;;;;;;;;;
Hauterives;Hauterives;Hauterives;2999;;https://www.storengy.com/countries/france/en/nos-sites/manosque.html;;Salz Kaverne;1;;;;2;1500;200;;;;;;;;;
HillTopFarm_1;HillTopFarm;HillTopFarm;2015;;http://media.edfenergy.com/Misc/AboutUs.aspx;;Salz Kaverne;;;;;;;;;;;;;;;;
HillTopFarm_2;HillTopFarm;HillTopFarm;2017;;http://media.edfenergy.com/Misc/AboutUs.aspx;;Salz Kaverne;;;;;;;;;;;;;;;;
HJe;Hÿje;HJe;1998;;https://www.innogy-gasstorage.cz/en/index/;;Stein Kaverne;;;;;;;;;;;;;;;;
HoleHouseFarm;Hole House Farm;HoleHouseFarm;2001;;http://media.edfenergy.com/Misc/AboutUs.aspx;;Salz Kaverne;;;;;;;;;;;;;;;;
Holford;Holford;Holford;2012;;https://www.uniper-energy-storage.com/cps/rde/xchg/ust/hs.xsl/3437.htm?rdeLocaleAttr=en;;Salz Kaverne;;;;;;;;;;;;;;;;
HolfordBrinefield;Holford Brinefield;HolfordBrinefield;2999;;http://www.kgsp.co.uk/;;Salz Kaverne;;;;;;;;;;;;;;;;
Hornsea;Hornsea;Hornsea;1979;;http://sse.com/whatwedo/wholesale/gasstorage/;;Salz Kaverne;;;;;;;;;;;;;;;;
HumblyGrove;HumblyGrove;HumblyGrove;2005;;http://www.humblyenergy.co.uk/about-us#useful-information;;Leeres Gas Feld;;;;;;;;;;;;;;;;
Huntorf;Huntorf;Huntorf;1980;;;;;;;;;;;;;;;;;;;;
Husow;Husow;Husow;1987;;https://www.osm.pgnig.pl/en;;Leeres Feld;;;;;;;;;;;;;;;;
Incukalns_1;Incukalns;Incukalns;2026;;http://www.lg.lv/index.php?id=3376&lang=eng;;Aquifer;;;;;;;;;;;;;;;;
Incukalns_2;Incukalns;Incukalns;1969;;http://www.lg.lv/index.php?id=3376&lang=eng;;Aquifer;;;;;;;;;;;;;;;;
Incukalns_3;Incukalns;Incukalns;2019;;http://www.lg.lv/index.php?id=3376&lang=eng;;Aquifer;;;;;;;;;;;;;;;;
Incukalns_4;Incukalns;Incukalns;2021;;http://www.lg.lv/index.php?id=3376&lang=eng;;Aquifer;;;;;;;;;;;;;;;;
InzenhamWest;Inzenham-West;InzenhamWest;1982;;http://www.dea-speicher.de/en;;Leeres Feld;;;;;;;;;;;;;;;;
Islandmagee;Islandmagee;Islandmagee;2999;;http://www.islandmageestorage.com/;;Salz Kaverne;;;;;;;;;;;;;;;;
Izaute;Izaute;Izaute;1981;;http://www.tigf.fr/en/what-we-can-offer/storage.html;;Aquifer;;;;;;;;;;;;;;;;
Jemgum_1;Jemgum astora, The initial gas filling started in September 2013, first commercial operations were conducted in 2014/15.;Jemgum_Astora;2013;;https://www.astora.de/storage-locations/jemgum-storage-facility.html?L=1;;Salz Kaverne;;;;;;;;;;;;;;;;
Jemgum_2;Jemgum H;Jemgum_EWE;2013;;http://www.ewe-gasspeicher.de/english/index.php;;Salz Kaverne;;;;;;;;;;;;;;;;
Jemgum_3;Jemgum astora, The storage facility is continuously being expanded until reaching its full capacity.;Jemgum_Astora;2018;;https://www.astora.de/storage-locations/jemgum-storage-facility.html?L=2;;Salz Kaverne;;;;;;;;;;;;;;;;
Jemgum_4;Jengum_WINGAS;Jengum_WINGAS;2020;;;;;;;;;;;;;;;;;;;;
Jengum_VNG;;;;;;;;;;;;10;;149;;;;;;;;;
Kaliningradskoye;Kaliningradskoe;Kaliningradskoye;2013;;http://www.gazprom.com/about/production/underground-storage/;;Salt cavern;;;;;;;;;;;;;;;;
Kalle;Kalle;Kalle;;2016;;;;;;;;;;;;;;;;;;;
