id;comment;comp_id;start_year;end_year;source;license;operator_name;pipe_name;is_H_gas;max_cap_M_m3_per_h;max_pressure_bar;max_power_MW;num_turb;turbine_fuel_isGas_1;turbine_type_1;turbine_power_1_MW;turbine_fuel_isGas_2;turbine_type_2;turbine_power_2_MW;turbine_fuel_isGas_3;turbine_type_3;turbine_power_3_MW;turbine_fuel_isGas_4;turbine_type_4;turbine_power_4_MW;turbine_fuel_isGas_5;turbine_type_5;turbine_power_5_MW;turbine_fuel_isGas_6;turbine_type_6;turbine_power_6_MW
TEXT;TEXT;TEXT;INT;INT;TEXT;TEXT;TEXT;TEXT;INT;REAL;REAL;REAL;INT;INT;TEXT;REAL;INT;TEXT;REAL;INT;TEXT;REAL;INT;TEXT;REAL;INT;TEXT;REAL;INT;TEXT;REAL
[];[];[];[YYYY];[YYYY];[];[];[];[];[];[Mm^3/h];[bar];[MW];[num];[boolean];[];[MW];[boolean];[];[MW];[boolean];[];[MW];[boolean];[];[MW];[boolean];[];[MW];[boolean];[];[MW]
Nemesbikk;;Nemesbikk;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Nesvizh;;Nesvizh;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Nozay;;Nozay;;;http://www.grtgaz.com/fileadmin/plaquettes/en/2017/Essentiel-plaquette-institutionnelle-EN-2017.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
Oberkappel;Neustift;Oberkappel;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Odolanow;;Odolanow;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Olbernhau;;Olbernhau;;;Y:\SciGRID_gas\AusTausch\AP5 - Vergleich&Validierung\AP5.3 - SciGrid-Gas Validierung\MetaData\Kompressoren\Deutschland\Olbernhau;;GASCADE;STEGAL;1;0.83;90;31.8;3;1;THM;9.45;1;THM;9.45;1;THM;12.9;;;;;;;;;
Olbio;;Olbio;;;;;;GALSI;1;;;;;;;;;;;;;;;;;;;;;;
Oldeboorn;;Oldeboorn;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Ommen;;Ommen;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Orlovka;;Orlovka;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;
Orshan;Orsha;Orshan;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Oslavou;;Oslavou;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Palleau;;Palleau;;;http://www.grtgaz.com/fileadmin/plaquettes/en/2017/Essentiel-plaquette-institutionnelle-EN-2017.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
Paterna;;Paterna;;;https://www.enagas.es/stfls/ENAGAS/Transporte%20de%20Gas/Documentos/CAT_English.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
Peterborough;;Peterborough;1972;;https://en.wikipedia.org/wiki/National_Transmission_System;;;;1;;;35.4;3;1;Rolls-Royce Avons;;1;Rolls-Royce Avons;;1;Rolls-Royce Avons;;;;;;;;;;
Petrich;;Petrich;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Pitgam;;Pitgam;;;http://www.grtgaz.com/fileadmin/plaquettes/en/2017/Essentiel-plaquette-institutionnelle-EN-2017.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
Pnevezys;;Pnevezys;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Podisor;;Podisor;2019;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
PoggioRenatico;;PoggioRenatico;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
PolskiSenovets;;PolskiSenovets;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Portovaya;Portovaya Bay /Vyborg;Portovaya;;;https://www.gazprom.com/f/posts/86/569604/portovaya_eng.pdf;;;;1;8;220;360;6;;;52;;;52;;;52;;;52;;;52;;;52
Porz;;Porz;;;Y:\SciGRID_gas\AusTausch\AP5 - Vergleich&Validierung\AP5.3 - SciGrid-Gas Validierung\MetaData\Kompressoren\Deutschland\Porz;;OpenGridEurop;;1;2;;100;;;;;;;;;;;;;;;;;;;
Provadiya;;Provadiya;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Puertollano;;Puertollano;;;https://www.enagas.es/stfls/ENAGAS/Transporte%20de%20Gas/Documentos/CAT_English.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
PuthSchinnen;;PuthSchinnen;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
