name;comment;element_type;country;lat;long;exact;start;stop;source;capacity_E_MW;capacity_TH_MW;fuel1;fuel2;fuel3;fuel4;owner;gppd_idnr;url;geolocation_source;year_of_capacity_data;generation_gwh_2013;generation_gwh_2014;generation_gwh_2015;generation_gwh_2016;estimated_generation_gwh
[str];[str];[str];[str];[deg];[deg];[boolean];[yyyy];[yyyy];[str];[double];[double];[str];[str];[str];[str];[str];[str];[str];[str];[yyyy];[GWh];[GWh];[GWh];[GWh];[GWh]
ARCOS DE LA FRONTERA GRUPO 1;;{J};Spain;36.6721;-5.8164;1;2005;;Red El«∏ctrica de Espa«Òa;1585.39;;Gas;;;;IBERDROLA GENERACION  S.A.;WRI1006203;http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015;GEODB;;;;;;2865.007413
CARTAGENA GRUPO 1;;{J};Spain;37.5732;-0.9392;1;2006;;Red El«∏ctrica de Espa«Òa;1248.82;;Gas;;;;GAS NATURAL FENOSA GENERACION  S.L.U.;WRI1006308;http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015;GEODB;;;;;;2256.781333
CCC SAGUNTO  GRUPO 2;;{J};Spain;39.6426;-0.2344;1;2007;;Red El«∏ctrica de Espa«Òa;1232.19;;Gas;;;;GAS NATURAL FENOSA GENERACION  S.L.U.;WRI1006323;http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015;GEODB;;;;;;2226.728744
ESCOMBRERAS GRUPO 1;;{J};Spain;7.5732;-0.9392;1;2006;;Red El«∏ctrica de Espa«Òa;1199.25;;Gas;;;;GDF SUEZ CARTAGENA ENERGIA  S.L.;WRI1006467;http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015;WRI;;;;;;2167.201849
PALOS DE LA FRONTERA GRUPO 1;;{J};Spain;37.1843;-6.8857;1;2004;;Red El«∏ctrica de Espa«Òa;1167;;Gas;;;;GAS NATURAL FENOSA GENERACION  S.L.U.;WRI1007283;http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015;GEODB;;;;;;2108.921875
PUERTO DE BARCELONA  GRUPO 2;;{J};Spain;41.3366;2.1594;1;2010;;Red El«∏ctrica de Espa«Òa;866.3;;Gas;;;;GAS NATURAL FENOSA GENERACION  S.L.U.;WRI1007821;http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015;GEODB;;;;;;1565.517583
CTCC AS PONTES  GRUPO 5;;{J};Spain;43.4451;-7.8621;1;2008;;Red El«∏ctrica de Espa«Òa;855.67;;Gas;;;;ENDESA GENERACION S.A.;WRI1006410;http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015;GEODB;;;;;;1546.307781
CTCC SOTO DE RIBERA  GRUPO 5;;{J};Spain;43.3161;-5.8777;1;2011;;Red El«∏ctrica de Espa«Òa;854.17;;Gas;;;;HIDROELECTRICA DEL CANTABRICO  S.A.;WRI1006418;http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015;GEODB;;;;;;1543.597084
CTCC CASTELLON  GRUPO 4;;{J};Spain;39.9592;-0.001;1;2008;;Red El«∏ctrica de Espa«Òa;839.35;;Gas;;;;IBERDROLA GENERACION  S.A.;WRI1006413;http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015;GEODB;;;;;;1516.815403
CCC BAHIA DE ALGECIRAS;;{J};Spain;36.1829;-5.3905;1;2009;;Red El«∏ctrica de Espa«Òa;820.536;;Gas;;;;VIESGO GENERACION  S.L.;WRI1006322;http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015;GEODB;;;;;;1482.81604
