Country;Type;EIC Code;Short Name;Name;nameShort
IT;Storage Group;21Z000000000274I;;VGS STOGIT (Fiume Treste, Bordolano, Sabbioncello, Minerbio, Sergnano, Ripalta, Cortemaggiore, Brugherio, Settala);Bordolano
LV;SSO;21X000000001379R;Conexus Baltic Grid;JSC Conexus Baltic Grid;JSC Conexus Baltic Grid
LV;Storage Facility;21W000000000113A;;UGS Incukalns;UGS Incukalns
NL;SSO;21X000000001057C;EnergyStock;EnergyStock BV;EnergyStock BV
NL;Storage Facility;21W000000000006B;;UGS EnergyStock;UGS EnergyStock
NL;SSO;21X000000001075A;NAM;Nederlandse Aardolie Maatschappij B.V.;Nederlandse Aardolie Maatschappij B.V.
NL;Storage Facility;21W000000000001L;;UGS Grijpskerk;UGS Grijpskerk
NL;Storage Facility;21W000000000015A;;UGS Norg (Langelo);Norg
NL;SSO;21X000000001120V;TAQA Gas Storage;TAQA Gas Storage B.V.;TAQA Gas Storage B.V.
NL;Storage Facility;21W0000000000087;;UGS Bergermeer;UGS Bergermeer
NL;SSO;21X0000000013732;TAQA Piek Gas;TAQA Piek Gas B.V.;TAQA Piek Gas B.V.
NL;Storage Facility;21W000000000002J;;UGS Alkmaar;UGS Alkmaar
PL;SSO;53XPL000000OSMP5;GSP;Gas Storage Poland sp. z o.o. (GSP);Gas Storage Poland sp. z o.o. (GSP)
PL;Storage Group;PRIOR_OSM_000001;;GSP historical data prior to 4 Feb 2014;GasStoragePoland
PL;Storage Facility;21Z000000000381H;;UGS Wierzchowice;UGS Wierzchowice
PL;Storage Group;21Z000000000383D;;VGS GIM Kawerna (Kosakowo, Mogilno);Mogilno
PL;Storage Group;21Z000000000382F;;VGS GIM Sanok (Brzeznica, Husow, Strachocina, Swarzow);Brzeznica
PT;SSO;21X0000000013627;REN Armazenagem;REN Armazenagem S.A.;REN Armazenagem S.A.
PT;Storage Facility;16ZAS01--------8;;UGS Carriço;UGS Carriço
RO;SSO;21X000000001300T;Depomures;Depomures SA;Depomures SA
RO;Storage Facility;21Z000000000309P;;UGS Târgu Mures;UGS Târgu Mures
RO;SSO;21X-DEPOGAZ-AGSI;Depogaz Ploie?ti;SNGN ROMGAZ SA FILIALA DE INMAGAZINARE GN DEPOGAZ PLOIESTI SRL / AGSI+;SNGN ROMGAZ SA FILIALA DE INMAGAZINARE GN DEPOGAZ PLOIESTI SRL / AGSI+
RO;Storage Facility;21Z0000000003111;;UGS Balaceanca;UGS Balaceanca
RO;Storage Facility;21Z000000000313Y;;UGS Bilciuresti;UGS Bilciuresti
RO;Storage Facility;21Z000000000316S;;UGS Cetatea de Balta;UGS Cetatea de Balta
RO;Storage Facility;21Z000000000315U;;UGS Ghercesti;UGS Ghercesti
RO;Storage Facility;21Z000000000314W;;UGS Sarma?el;UGS Sarma?el
RO;Storage Facility;21Z0000000003103;;UGS Urziceni;UGS Urziceni
SE;SSO;21X-SE-A-A0A0A-F;Swedegas;Swedegas AB;Swedegas AB
SE;Storage Facility;21W0000000000435;;UGS Skallen;UGS Skallen
SK;SSO;42X-NAFTA-SK---U;Nafta;Nafta a.s.;Nafta a.s.
